Takmontörer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tandhygienister,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tandsköterskor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Telefonförsäljare m.fl.,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Transportledare och transportsamordnare,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Truckförare,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Trädgårdsanläggare m.fl.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunnplåtslagare,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Underhållsmekaniker och maskinreparatörer,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0
"Undersköterskor, hemtjänst, hemsjukvård, äldreboende och habilitering",0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,2,1,0,0,0,1
"Undersköterskor, vård- och specialavdelning och mottagning",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Uppfödare och skötare av sällskapsdjur,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Verkställande direktörer m.fl.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Väktare och ordningsvakter,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Växtodlare och djuruppfödare, blandad drift",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Vårdare, boendestödjare",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Vårdbiträden,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Åklagare,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Övrig bevaknings- och säkerhetspersonal,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Övrig hemservicepersonal m.fl.,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Övriga IT-specialister,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Övriga chefer inom samhällsservice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Övriga civilingenjörsyrken,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Övriga förmedlare,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Övriga handläggare,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Övriga läkare,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Övriga maskin- och processoperatörer vid stål- och metallverk,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Övriga maskinoperatörer, livsmedelsindustri m.m.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Övriga pedagoger med teoretisk specialistkompetens,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Övriga utbildare och instruktörer,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Övriga yrken inom socialt arbete,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
